day;revenue;tac;clicks
2012-01-01;7779674.925;3693579.179;92037225
2012-01-02;9260767.75;4419237.395;113873655
2012-01-03;8700230.75;4289181.925;106522570
2012-01-04;8540095.738;4331617.269;104028960
2012-01-05;8878894.475;4313838.255;108367105
2012-01-06;8089226.113;3893625.211;100455565
2012-01-07;7315467.413;3497054.623;89143740
2012-01-08;7818966.163;3780547.069;94203865
2012-01-09;8283943.925;4058803.001;105120400
2012-01-10;7752976.025;3933009.831;99639855
2012-01-11;8613888.963;3983910.724;107989210
2012-01-12;8849377.663;4033523.694;109301290
2012-01-13;8628355.013;3910440.479;108193890
2012-01-14;8026452.113;3640515.629;98529655
2012-01-15;8783649.838;3942650.725;107048760
2012-01-16;9129486.975;4356364.708;117465985
2012-01-17;8447998.863;4082637.753;109190935
2012-01-18;8726441.275;4259183.22;112944965
2012-01-19;8606648.125;4158925.023;111417110
2012-01-20;8319001.1;4032102.65;109234020
2012-01-21;7797794.675;3802984.742;98721420
2012-01-22;8364564.838;3978980.759;105532210
2012-01-23;8646509.963;4261584.516;108136595
2012-01-24;8553970.1;4159531.139;109566380
2012-01-25;8785026.35;4292288.537;110975795
2012-01-26;8629267.475;4234192.425;109108930
2012-01-27;8273317.275;4019717.281;105114310
2012-01-28;7299025.425;3420179.231;92892660
2012-01-29;8382822.538;3857216.056;105195860
2012-01-30;8863558.6;4304618.073;110622890
2012-01-31;8747897.825;4224165.173;109521335
2012-02-01;8776431.525;4263154.767;111308330
2012-02-02;8750583.575;4274910.177;112296765
2012-02-03;8510733.3;4101854.639;110522755
2012-02-04;7573760.313;3524541.386;96986400
2012-02-05;8499057.813;3961068.855;108456740
2012-02-06;8940160.875;4333845.616;116463900
2012-02-07;8538419.038;4102057.614;110983285
2012-02-08;8301636.238;4033753.942;108035970
2012-02-09;8438224.163;4099788.485;109815825
2012-02-10;8127616.263;3905263.283;105475685
2012-02-11;7392179.45;3496511.81;93639175
2012-02-12;8593658.463;4052987.433;108518445
2012-02-13;8684141.6;4280629.264;113966090
2012-02-14;8459928.7;4141568.086;109100740
2012-02-15;8307491.738;4083309.359;106907920
2012-02-16;7770709.488;3841209.002;101975020
2012-02-17;7605517.625;3829526.163;98676620
2012-02-18;6728049.213;3289170.16;85988525
2012-02-19;7387199.238;3560142.716;94098550
2012-02-20;7820500.175;3909943.454;104023500
2012-02-21;7674259.075;3806955.434;99957865
2012-02-22;7961685.813;3921186.144;104159755
2012-02-23;7915786.113;3969480.368;103424545
2012-02-24;7475367.213;3696120.89;96498640
2012-02-25;6764928.513;3220691.451;86819005
2012-02-26;7418388.475;3571329.718;95245325
2012-02-27;7669005.588;3939588.801;100891070
2012-02-28;7502377.9;3774402.575;99117375
2012-02-29;7204165.55;3654343.232;94368330
2012-03-01;6828993.125;3430867.654;93606450
2012-03-02;7025645.113;3364256.398;97125140
2012-03-03;6531857.088;3023743.263;87080140
2012-03-04;7763424.163;3581165.161;103709270
2012-03-05;7805437.2;3779440.709;105855680
2012-03-06;7321500.85;3602214.68;98082110
2012-03-07;7788266.138;3815858.045;104788880
2012-03-08;7597718;3784635.854;102727730
2012-03-09;7567283.238;3623583.678;101925145
2012-03-10;6854279.75;3265192.361;90045620
2012-03-11;7518701.413;3581659.2;98948815
2012-03-12;7750246.175;3869178.782;104010270
2012-03-13;7650388.75;3781883.32;101581970
2012-03-14;7474015.775;3709170.728;101196200
2012-03-15;7310565.825;3570407.674;99602650
2012-03-16;7248192.213;3495085.161;97230420
2012-03-17;6901886.013;3172870.198;91666155
2012-03-18;8204502.075;3782580.5;107871015
2012-03-19;8133861.763;3946683.422;110710250
2012-03-20;7469675.188;3633667.773;100142140
2012-03-21;7346192.538;3639505.585;97611955
2012-03-22;7216572.038;3618261.927;96920775
2012-03-23;6858681.838;3453731.833;93113720
2012-03-24;6188580.713;2889814.748;83028995
2012-03-25;6756698.313;3173487.802;89159245
2012-03-26;7566147.013;3689736.104;100668015
2012-03-27;7331651.238;3523747.947;97431880
2012-03-28;7261412.563;3503529.153;94592750
2012-03-29;7487658.363;3592785.685;96711720
2012-03-30;6950460.938;3301430.831;89156620
2012-03-31;6797025.625;3104287.916;86313150
2012-04-01;7891150.925;3599164.577;103338270
2012-04-02;8078274.013;4149075.205;112996695
2012-04-03;7827366.775;3835320.918;109365515
2012-04-04;7724142.488;3874774.924;105214585
2012-04-05;7923018.213;3979980.669;107668680
2012-04-06;7789393.213;3716390.956;103633145
2012-04-07;6875201.863;3268790.293;91778680
2012-04-08;7071404.125;3283854.592;94286290
2012-04-09;8559048.25;3978181.07;134839495
2012-04-10;8120406.825;3935059.679;131268480
2012-04-11;8361866.238;4104489.546;110722920
2012-04-12;8417718.95;4099565.242;109904200
2012-04-13;7861737.625;3806007.35;103872755
2012-04-14;7532063.475;3567877.806;98575155
2012-04-15;8300679.638;3893030.095;105183365
2012-04-16;8480005.988;4189054.097;109808580
2012-04-17;8343527.2;4071033.081;107228835
2012-04-18;8250526.55;4038257.234;106816325
2012-04-19;8189349.525;4028102.155;105473060
2012-04-20;7767730.138;3867156.65;100604280
2012-04-21;7141083.3;3451299.379;90974310
2012-04-22;7794223.713;3694971.663;98286300
2012-04-23;8433538.825;4176137.493;108932215
2012-04-24;8518613.688;4086337.161;106870435
2012-04-25;8282442.738;4059945.524;103450340
2012-04-26;7711942.325;3967909.918;96428150
2012-04-27;7419562.363;3846028.599;92990310
2012-04-28;6359677.675;3023418.355;80408230
2012-04-29;7250771.563;3396393.163;90464920
2012-04-30;7400862.3;3693803.921;95934020
2012-05-01;7887811.975;3989862.388;99779190
2012-05-02;7518655.513;4070213.457;97411300
2012-05-03;8323650.375;4211693.147;105716940
2012-05-04;8007086.325;3969397.551;101400180
2012-05-05;7186481.663;3498458.04;89270930
2012-05-06;8592081.275;4163427.35;104069175
2012-05-07;8915519.65;4304461.73;109907105
2012-05-08;8870605.138;4239045.656;112480830
2012-05-09;8539145.288;4117014.642;108999345
2012-05-10;8275174.288;4047260.888;105847525
2012-05-11;7694916.263;3725842.361;98523845
2012-05-12;6755801.575;3198947.328;85935535
2012-05-13;7350493.1;3492187.428;93897475
2012-05-14;8605130.538;4230119.513;109280360
2012-05-15;9071701.613;4444511.184;112438935
2012-05-16;8273124.25;4204017.974;104117440
2012-05-17;8398357.3;4131243.887;104107185
2012-05-18;8197585.15;4143242.055;103363785
2012-05-19;6950412.925;3336482.489;87052105
2012-05-20;8201276.825;4017786.492;103599020
2012-05-21;9085407.138;4702192.601;114262085
2012-05-22;7901543.913;3980151.476;99651300
2012-05-23;7077637;3589137.148;90036975
2012-05-24;6961289.963;3522304.936;89039440
2012-05-25;6605134.413;3346550.089;82364940
2012-05-26;5377921.25;2678396.911;67499250
2012-05-27;5951666.85;2967104.426;74305840
2012-05-28;8085936.25;4123955.161;99967455
2012-05-29;8148032.388;4365664.266;98966280
2012-05-30;8069794.275;4216823.533;98985390
2012-05-31;8376419.763;4352244.233;102259010
2012-06-01;7383220.513;3730489.721;92728895
2012-06-02;6515661.413;3141980.141;81280745
2012-06-03;8205891.6;3854356.53;100678165
2012-06-04;8470354.325;4229867.043;104168820
2012-06-05;7667915.038;3863671.283;94044230
2012-06-06;7800513.45;3940692.552;93508485
2012-06-07;8200590.863;4081082.81;101367875
2012-06-08;7951320.15;3955949.291;97778030
2012-06-09;6764734.963;3198009.978;83482770
2012-06-10;8443437.6;4263977.909;98342055
2012-06-11;8850671.088;4470505.841;108028970
2012-06-12;8628051.088;4351115.152;107414965
2012-06-13;8019577.5;4174295.093;99400420
2012-06-14;7793849.025;4010122.275;96361545
2012-06-15;7522783.213;3749873.584;92276660
2012-06-16;6766544.725;3233535.25;82074860
2012-06-17;6821833.675;3324791.447;83505485
2012-06-18;8040853.038;4040341.803;99880130
2012-06-19;8358681.488;4175819.212;102274690
2012-06-20;8639753.313;4413592.523;103161870
2012-06-21;8790033.313;4452783.193;102705190
2012-06-22;8023872.175;4074216.095;93798915
2012-06-23;6323722.775;3127632.559;73642800
2012-06-24;7681423.175;3764899.887;86864680
2012-06-25;8761847.513;4549211.479;103414570
2012-06-26;8605642.563;4483379.433;100899820
2012-06-27;9181778.213;4573042.835;100630005
2012-06-28;8579423.088;4226413.889;94918565
2012-06-29;8239217.413;4085902.485;92864275
2012-06-30;6641747.675;3175626.284;75495700
2012-07-01;8941780.663;4047242.773;98341810
2012-07-02;9819045.825;4922678.294;111826995
2012-07-03;10347589.43;5131591.35;116065145
2012-07-04;9628273.913;4559805.164;110530245
2012-07-05;10279835.89;5003250.996;114708230
2012-07-06;9823066.763;4826420.915;109073265
2012-07-07;7699944.875;3713268.048;85386700
2012-07-08;8826562.125;4168859.912;96999630
2012-07-09;10378112.56;5336553.349;116692555
2012-07-10;10510179.7;5378345.715;119472675
2012-07-11;10157013.71;5137783.773;117374110
2012-07-12;9798865.45;4840324.497;114278535
2012-07-13;9537484.575;4623033.095;111463030
2012-07-14;8134039.575;3835620.573;94503535
2012-07-15;8943987.8;4172279.2;103494335
2012-07-16;10532280.73;5177517.866;124541515
2012-07-17;10323556.49;4956002.936;119185255
2012-07-18;9762926.075;4750712.399;111744605
2012-07-19;10039913.25;4697302.251;115299870
2012-07-20;9641235.438;4571762.939;110512430
2012-07-21;7808702.238;3597308.835;89763240
2012-07-22;8159101.188;3776073.114;93392950
2012-07-23;9744725.775;4795674.059;112944195
2012-07-24;9551887.963;4655792.136;109900140
2012-07-25;9537957.425;4558502.568;110956895
2012-07-26;9459042.063;4467505.389;108542910
2012-07-27;9449521.6;4612757.037;110182380
2012-07-28;7860085.338;3735458.569;90456030
2012-07-29;8807845.3;4122968.116;99298955
2012-07-30;10573993.31;5182365.869;122309425
2012-07-31;10620859.68;5161820.413;122257380
2012-08-01;10898826.8;5391866.747;126260540
2012-08-02;10439711.39;5198447.604;122437490
2012-08-03;9904523.688;5148898.536;117995220
2012-08-04;8022694.525;3987828.946;95352845
2012-08-05;9332045.238;4515707.284;111002395
2012-08-06;10887981.71;5561030.159;126611800
2012-08-07;10596601.93;5340505.105;124342680
2012-08-08;10662438.9;5343848.569;125622595
2012-08-09;10665348.36;5333766.861;126215180
2012-08-10;9832405.225;4972176.191;119867965
2012-08-11;8264409.45;4062348.241;101185700
2012-08-12;9071710.938;4516535.954;109121075
2012-08-13;10819330.54;5623966.948;132875680
2012-08-14;10605145.29;5472143.779;130083765
2012-08-15;10505774.36;5483886.324;126900620
2012-08-16;9925792.575;5276219.166;121224355
2012-08-17;9312353.2;4895298.845;113181495
2012-08-18;7628688.725;3858986.884;91862330
2012-08-19;8484536.063;4260412.29;102778480
2012-08-20;10572649.71;5598594.124;127242780
2012-08-21;10908062.78;5640942.7;131538050
2012-08-22;10538607.96;5347201.79;126352835
2012-08-23;10634949.94;5441798.721;127076005
2012-08-24;10446303.96;5270970.065;120712095
2012-08-25;8895852.713;4349820.492;101348450
2012-08-26;9402886.413;4705571.23;111441820
2012-08-27;11064532.58;5805018.282;130414305
2012-08-28;11017610.7;5684244.987;138946290
2012-08-29;10537883.7;5400807.575;127325940
2012-08-30;10786428.98;5435400.581;137296390
2012-08-31;10462736.49;5331607.023;130550070
2012-09-01;8821488.213;4357755.727;109188520
2012-09-02;9733358.55;4735983.154;119525700
2012-09-03;10626767.28;5439472.816;136940440
2012-09-04;10929787.63;5585697.733;135352945
2012-09-05;10425597.3;5298861.301;132395270
2012-09-06;10186236.75;5174996.446;128274790
2012-09-07;9517255.15;4934107.054;122798235
2012-09-08;8195246.75;4087096.634;102637220
2012-09-09;8729738.65;4325780.822;109233530
2012-09-10;10371417.21;5430406.391;130895275
2012-09-11;10078858.54;5454649.735;123116595
2012-09-12;11501297.21;5855590.47;142135245
2012-09-13;10578961.16;5631213.661;134027915
2012-09-14;10505229.41;5511026.746;133774760
2012-09-15;8937609.425;4430029.414;110189730
2012-09-16;9776933.613;4829108.78;120193710
2012-09-17;10713822.25;5586077.309;133319375
2012-09-18;11068566.16;5694768.809;134815590
2012-09-19;11128421.25;6133013.581;135407020
2012-09-20;10670071.49;5560218.627;129212265
2012-09-21;11050051.41;5879467.503;126135135
2012-09-22;9062387.788;4538717.417;109020240
2012-09-23;10162111.5;5031435.672;124231065
2012-09-24;11352887.4;5896168.174;138657995
2012-09-25;11224104.55;5732739.4;135612435
2012-09-26;11063655.95;5581506.273;132064765
2012-09-27;11217057.3;5681746.366;134108695
2012-09-28;10600086.65;5383304.895;124791100
2012-09-29;9617764.15;4742477.664;113146285
2012-09-30;10638376.54;5239651.137;124365885
2012-10-01;12196110.94;6174642.31;145386255
2012-10-02;11840053.26;5937964.469;142124710
2012-10-03;11992144.36;5982265.624;143873660
2012-10-04;11951574.05;5877288.229;148240995
2012-10-05;11407325.08;5574785.601;142366140
2012-10-06;9907988.05;4699714.958;124990110
2012-10-07;11191349.64;5244826.268;136891930
2012-10-08;12278842.98;6039768.108;155675275
2012-10-09;11850537.45;6071428.339;148063125
2012-10-10;11273594.51;5993094.074;140640535
2012-10-11;10933534.45;5854318.055;138787845
2012-10-12;11007917.19;5721704.779;138800375
2012-10-13;9531067.45;4689809.13;119726600
2012-10-14;10918012.04;5313692.988;134531600
2012-10-15;12417296.43;6619130.81;147767025
2012-10-16;11361852.74;5801092.989;141196335
2012-10-17;11461531.99;5873279.885;145334665
2012-10-18;10474269.29;5529944.043;133362950
2012-10-19;9801927.275;5128744.055;127609090
2012-10-20;8518365.988;4325552.684;111406470
2012-10-21;9288412.575;4698153.277;118410040
2012-10-22;11098296.96;5844471.068;143352020
2012-10-23;11357075.56;5805116.095;146864340
2012-10-24;10879133.35;5605672.982;138870270
2012-10-25;10738480.8;5469197.739;135015335
2012-10-26;9528101.513;4897798.133;116747225
2012-10-27;9133083.263;4435202.569;112486745
2012-10-28;10516851.64;5040941.712;125846630
2012-10-29;11902425.03;5989328.354;143658550
2012-10-30;11222646.85;5724915.509;136590930
2012-10-31;10740858.26;5436820.193;132844915
2012-11-01;11415965.43;5598300.729;142815890
2012-11-02;10537616.1;5283361.461;131240865
2012-11-03;8994833.463;4469855.315;109155970
2012-11-04;10392426.9;5044883.345;125645345
2012-11-05;11656347.04;5878962.386;146517105
2012-11-06;11858002.49;5596753.877;146888840
2012-11-07;11804290.84;5909463.998;143214540
2012-11-08;11659069.39;5844870.812;140658525
2012-11-09;11252622.78;5770745.922;134854545
2012-11-10;10127216.18;4931206.047;123297300
2012-11-11;11382349.43;5497022.153;137707745
2012-11-12;12478453.33;6279461.231;150560095
2012-11-13;12202520.59;6070089.013;145405330
2012-11-14;12348792.45;6157616.065;145937120
2012-11-15;11945363.39;5965852.986;143593555
2012-11-16;11567773.68;5763918.09;139888770
2012-11-17;10605845.64;5188976.418;127610665
2012-11-18;12230373.8;6003349.73;141394470
2012-11-19;13516441.21;6715556.088;159346425
2012-11-20;12878664.25;6286959.836;152288780
2012-11-21;12854065.31;6281925.431;149321515
2012-11-22;11977736.14;5928983.415;141322685
2012-11-23;11859481.99;5797067.807;130581115
2012-11-24;11136656.88;5310035.827;118263880
2012-11-25;12102443.14;5794473.881;125945225
2012-11-26;14401963.16;7166956.436;148486135
2012-11-27;15553391.34;7745236.966;158212565
2012-11-28;15154607.14;7636892.308;155223460
2012-11-29;15075091.79;7477154.916;156075220
2012-11-30;13525418.61;6811370.411;145859000
2012-12-01;12274346.31;6038167.943;134784055
2012-12-02;14170853.68;6898838.289;149841895
2012-12-03;14957932.15;7751987.686;165187295
2012-12-04;13841381.08;7184459.416;153892690
2012-12-05;14039486.6;7177220.062;154921165
2012-12-06;13714808.24;6950620.944;150720570
2012-12-07;13192891.95;6690018.452;143809820
2012-12-08;11986763.54;5828485.602;130072600
2012-12-09;13544294.63;6586945.428;145525800
2012-12-10;14261597.34;7277054.073;155371195
2012-12-11;14490943.5;7390085.339;154801290
2012-12-12;14201714.14;7254289.471;150828370
2012-12-13;14227794.18;7259776.357;146688220
2012-12-14;13540772.89;7024571.075;140835450
2012-12-15;12217600.8;6038077.567;125378750
2012-12-16;13024261.54;6463224.106;133709205
2012-12-17;14721532.16;7620965.584;149600220
2012-12-18;14882613.23;7672744.464;147179410
2012-12-19;13544898.03;6874567.274;136943625
2012-12-20;12888545.91;6670948.663;132206515
2012-12-21;11379884.76;5850957.02;118305600
2012-12-22;10130941.51;4980682.31;106520120
2012-12-23;9951603.85;4974200.609;105447230
2012-12-24;9059352.625;4620962.012;95988375
2012-12-25;8767000.2;4330147.907;94041710
2012-12-26;12029443.63;5812409.228;125822095
2012-12-27;13085553.39;6377047.081;135962295
2012-12-28;12457867.06;6193969.763;130474715
2012-12-29;11509236.36;5657118.907;118303955
2012-12-30;11704079.61;5721554.707;122540775
2012-12-31;10674552.34;5287020.487;108518200
2013-01-01;12052583.96;5594888.256;129562370
2013-01-02;15373418.73;7375592.236;169644930
2013-01-03;14480968.3;7171650.571;169719410
2013-01-04;13544966.91;6867924.401;162705480
2013-01-05;12464199.43;6111836.534;148897910
2013-01-06;12881638.35;6435058.578;153070925
2013-01-07;13142841.15;6765468.715;161176015
2013-01-08;14160957.11;7123110.304;170768990
2013-01-09;14727675.51;7382034.62;174017410
